"Server IP","Server Group","Server Group Mode","Hostname"
"200.152.45.4","30 - Grupo Geral -  Learning","Simulation","200.152.45.4"
"200.152.45.96","19 - HOMOLOGAÇÃO","Active","hinss.dataprev.gov.br"
"200.152.45.126","21 - HOMOLOGAÇÃO - LEARNING","Simulation","srfb.gerid.dataprev.gov.br"
"200.152.45.97","21 - HOMOLOGAÇÃO - LEARNING","Simulation","200.152.45.97"
"200.152.45.104","21 - HOMOLOGAÇÃO - LEARNING","Simulation","spgfn.gerid.dataprev.gov.br"
"200.152.47.17","30 - Grupo Geral -  Learning","Simulation","registrarh-saude.dataprev.gov.br"
"200.152.45.25","21 - HOMOLOGAÇÃO - LEARNING","Simulation","hdwmtb.dataprev.gov.br"
"200.152.45.103","19 - HOMOLOGAÇÃO","Active","ssncm1.dataprev.gov.br"
"200.152.45.82","30 - Grupo Geral -  Learning","Simulation","vip-parcweb.dataprev.gov.br"
"200.152.47.13","04 - Aplicacoes Dataprev - RIE","Active","tools.dataprev.gov.br"
"200.152.45.136","19 - HOMOLOGAÇÃO","Active","200.152.45.136"
"200.152.45.26","21 - HOMOLOGAÇÃO - LEARNING","Simulation","hdwrfb.dataprev.gov.br"
"200.152.45.110","21 - HOMOLOGAÇÃO - LEARNING","Simulation","rrfb.gerid.dataprev.gov.br"
"200.152.45.31","21 - HOMOLOGAÇÃO - LEARNING","Simulation","haudcomp.dataprev.gov.br"
"200.152.45.114","21 - HOMOLOGAÇÃO - LEARNING","Simulation","refis-homolog.dataprev.gov.br"
"200.152.45.40","04 - Aplicacoes Dataprev - RIE","Active","servicoanalitico.dataprev.gov.br"
"200.152.47.4","04 - Aplicacoes Dataprev - RIE","Active","ideia.dataprev.gov.br"
"200.152.45.44","04 - Aplicacoes Dataprev - RIE","Active","paineldeinformacoes12.dataprev.gov.br"
"200.152.45.43","10 - Serviços de Autenticação","Active","rfb-gerid.dataprev.gov.br"
"200.152.45.193","10 - Serviços de Autenticação","Active","cgeridinss.dataprev.gov.br"
"200.152.45.81","02 - RFB - WWW3SP","Active","seris.dataprev.gov.br"
"200.152.45.210","06 - MPS","Active","sigrpps.dataprev.gov.br"
"200.152.45.72","09 - BI MTE WEB FOCUS","Active","200.152.45.72"
"200.152.45.142","03 - RFB - REFIS","Active","200.152.45.142"
"200.152.45.46","11 - INSS - Bases de Gestao","Active","informacoes.inss.gov.br"
"200.152.45.49","30 - Grupo Geral -  Learning","Simulation","psasanalyticsviya.dataprev.gov.br"
"200.152.46.1","30 - Grupo Geral -  Learning","Simulation","chatpgfn.dataprev.gov.br"
"10.198.104.20","30 - Grupo Geral -  Learning","Simulation","10.198.104.20"
"200.152.45.242","14 - Serviços de Nuvem","Active","vcloudsp-console.dataprev.gov.br"
